listing_id,data_source,date_listed,date_collected,micro_market,sub_locality,property_type,bedrooms,bathrooms,furnishing,area_sqft,floor,total_floors,listing_type,sale_price_inr,sale_price_cr,monthly_rent_inr,annual_rent,price_per_sqft,source_url
81565473,MagicBricks,,2026-03-15 18:53:53,Bandra,Bandra,Apartment,3,,,1300.0,1,30,Sale,67500000.0,6.75,,,51923.0,https://www.magicbricks.com/propertyDetails/-81565473
80143605,MagicBricks,,2026-03-15 18:53:54,Bandra,Bandra,Apartment,3,,,1350.0,12,20,Sale,80000000.0,8.0,,,59259.0,https://www.magicbricks.com/propertyDetails/-80143605
83569789,MagicBricks,2026-03-13,2026-03-15 18:53:55,Bandra,Bandra,Apartment,3,,,,3,23,Sale,61500000.0,6.15,,,,https://www.magicbricks.com/propertyDetails/-83569789
81472109,MagicBricks,2026-03-15,2026-03-15 18:53:56,Bandra,Bandra,Apartment,3,,,1121.0,9,31,Sale,78400000.0,7.84,,,69938.0,https://www.magicbricks.com/propertyDetails/-81472109
72650773,MagicBricks,,2026-03-15 18:53:57,Bandra,Bandra,Apartment,3,,,1452.0,9,22,Sale,120000000.0,12.0,,,82645.0,https://www.magicbricks.com/propertyDetails/-72650773
83530257,MagicBricks,,2026-03-15 18:53:58,Bandra,Bandra,Apartment,2,,,707.0,18,18,Sale,35000000.0,3.5,,,49505.0,https://www.magicbricks.com/propertyDetails/-83530257
53402417,MagicBricks,2026-03-14,2026-03-15 18:54:00,Bandra,Bandra,Apartment,3,,,1321.0,5,30,Sale,59000000.0,5.9,,,44663.0,https://www.magicbricks.com/propertyDetails/-53402417
82516713,MagicBricks,2026-03-15,2026-03-15 18:54:01,Bandra,Bandra,Apartment,3,,,1197.0,12,36,Sale,75100000.0,7.51,,,62740.0,https://www.magicbricks.com/propertyDetails/-82516713
83693305,MagicBricks,2026-03-14,2026-03-15 18:54:03,Bandra,Bandra,Apartment,3,,,1353.0,16,23,Sale,67500000.0,6.75,,,49889.0,https://www.magicbricks.com/propertyDetails/-83693305
82276451,MagicBricks,2026-03-14,2026-03-15 18:54:04,Bandra,Bandra,Apartment,3,,,1320.0,7,13,Sale,45000000.0,4.5,,,34091.0,https://www.magicbricks.com/propertyDetails/-82276451
82468859,MagicBricks,,2026-03-15 18:54:05,Bandra,Bandra,Apartment,3,,,1560.0,20,34,Sale,112000000.0,11.2,,,71795.0,https://www.magicbricks.com/propertyDetails/-82468859
83358985,MagicBricks,2026-03-14,2026-03-15 18:54:06,Bandra,Bandra,Apartment,3,,Unfurnished,1150.0,,,Sale,75700000.0,7.57,,,65826.0,https://www.magicbricks.com/propertyDetails/-83358985
82965695,MagicBricks,,2026-03-15 18:54:08,Bandra,Bandra,Apartment,3,,,1430.0,8,22,Sale,83000000.0,8.3,,,58042.0,https://www.magicbricks.com/propertyDetails/-82965695
83767301,MagicBricks,2026-03-14,2026-03-15 18:54:09,Bandra,Bandra,Apartment,3,,,1150.0,,,Sale,71000000.0,7.1,,,61739.0,https://www.magicbricks.com/propertyDetails/-83767301
67840101,MagicBricks,2026-03-14,2026-03-15 18:54:11,Bandra,Bandra,Apartment,3,,,1283.0,5,18,Sale,75000000.0,7.5,,,58457.0,https://www.magicbricks.com/propertyDetails/-67840101
83188373,MagicBricks,2026-03-13,2026-03-15 18:54:12,Bandra,Bandra,Apartment,3,,,1200.0,10,13,Sale,41000000.0,4.1,,,34167.0,https://www.magicbricks.com/propertyDetails/-83188373
83063417,MagicBricks,2026-03-14,2026-03-15 18:54:14,Bandra,Bandra,Apartment,3,,,2650.0,12,14,Sale,115000000.0,11.5,,,43396.0,https://www.magicbricks.com/propertyDetails/-83063417
80558109,MagicBricks,2026-03-14,2026-03-15 18:54:15,Bandra,Bandra,Apartment,3,,,1008.0,22,23,Sale,69700000.0,6.97,,,69147.0,https://www.magicbricks.com/propertyDetails/-80558109
